"","Subject","Bin","Time","ToTarget","ToDistractors","Proportion","Trials","elogit","elogit_weights","ot1","ot2"
"1561","645L",1,249.819,21,85,0.19811320754717,42,-1.3804634408091,0.0582075343397253,-0.305856808158285,0.369357186450725
"1562","645L",2,299.7828,24,83,0.224299065420561,42,-1.22617351430613,0.0527923744348039,-0.284763235181852,0.292938458219541
"1563","645L",3,349.7466,24,87,0.216216216216216,42,-1.27296567581289,0.0522448979591837,-0.263669662205418,0.221978210576298
"1564","645L",4,399.7104,20,92,0.178571428571429,42,-1.50678375837402,0.0595912986156889,-0.242576089228985,0.156476443520997
"1565","645L",5,449.6742,21,96,0.179487179487179,42,-1.50149007321132,0.0568743222074949,-0.221482516252551,0.0964331570536376
"1566","645L",6,499.638,19,96,0.165217391304348,42,-1.59912854277524,0.0616447455825694,-0.200388943276118,0.0418483511742202
"1567","645L",7,549.6018,18,94,0.160714285714286,42,-1.63082910241542,0.0646360646360646,-0.179295370299685,-0.00727797411725557
"1568","645L",8,599.5656,22,87,0.201834862385321,42,-1.35812348415319,0.0558730158730159,-0.158201797323251,-0.0509458188207896
"1569","645L",9,649.5294,28,80,0.259259259259259,42,-1.03835309714991,0.0475100795466928,-0.137108224346818,-0.0891551829363819
"1570","645L",10,699.4932,30,83,0.265486725663717,42,-1.00711994824344,0.0447629331500933,-0.116014651370384,-0.121906066464032
"1571","645L",11,749.457,32,79,0.288288288288288,42,-0.894516932324594,0.043347847121432,-0.0949210783939507,-0.149198469403741
"1572","645L",12,799.4208,34,81,0.295652173913043,42,-0.859643696209503,0.0412554458966836,-0.0738275054175172,-0.171032391755508
"1573","645L",13,849.3846,37,79,0.318965517241379,42,-0.751416088683921,0.0392452830188679,-0.0527339324410837,-0.187407833519333
"1574","645L",14,899.3484,39,77,0.336206896551724,42,-0.673977264452225,0.0382196815026541,-0.0316403594646502,-0.198324794695217
"1575","645L",15,949.3122,42,75,0.358974358974359,42,-0.574628580324608,0.0367744448772887,-0.0105467864882168,-0.203783275283159
"1576","645L",16,999.276,45,74,0.378151260504202,42,-0.493086799428609,0.0354008407699683,0.0105467864882167,-0.203783275283159
"1577","645L",17,1049.2398,47,65,0.419642857142857,42,-0.321320431600611,0.0363198071514665,0.0316403594646503,-0.198324794695217
"1578","645L",18,1099.2036,48,66,0.421052631578947,42,-0.315638149718371,0.0356561506859933,0.0527339324410837,-0.187407833519333
"1579","645L",19,1149.1674,51,69,0.425,42,-0.299744944901056,0.0338059649367884,0.0738275054175172,-0.171032391755508
"1580","645L",20,1199.1312,53,65,0.449152542372881,42,-0.202368488739245,0.0339587643575658,0.0949210783939507,-0.149198469403741
"1581","645L",21,1249.095,55,66,0.454545454545455,42,-0.18081892690942,0.0330556120029804,0.116014651370384,-0.121906066464032
"1582","645L",22,1299.0588,54,70,0.435483870967742,42,-0.257412008149025,0.0325330210163316,0.137108224346818,-0.0891551829363819
"1583","645L",23,1349.0226,56,69,0.448,42,-0.207086114418351,0.0320876042528809,0.158201797323251,-0.0509458188207897
"1584","645L",24,1398.9864,50,67,0.427350427350427,42,-0.29015426159717,0.0346167950128346,0.179295370299685,-0.00727797411725567
"1585","645L",25,1448.9502,49,71,0.408333333333333,42,-0.367724780125317,0.0341880341880342,0.200388943276118,0.0418483511742201
