"Subject","Bin","Time","ToTarget","ToDistractors","Proportion","Trials","elogit","elogit_weights","ot1","ot2"
"100L",14,899.3484,57,51,0.527777777777778,41,0.110203140133614,0.0368087800759814,-0.0316403594646502,-0.198324794695217
"100L",15,949.3122,60,54,0.526315789473684,41,0.104442663367597,0.0348775494730457,-0.0105467864882168,-0.203783275283159
"100L",16,999.276,60,54,0.526315789473684,41,0.104442663367597,0.0348775494730457,0.0105467864882167,-0.203783275283159
"100L",17,1049.2398,56,56,0.5,41,0,0.0353982300884956,0.0316403594646503,-0.198324794695217
"100L",18,1099.2036,53,55,0.490740740740741,41,-0.0367013668504279,0.0367096068030647,0.0527339324410837,-0.187407833519333
"100L",19,1149.1674,57,53,0.518181818181818,41,0.0721032939013439,0.0360828931328728,0.0738275054175172,-0.171032391755508
"100L",20,1199.1312,62,53,0.539130434782609,41,0.155484902840395,0.0346915887850467,0.0949210783939507,-0.149198469403741
"100L",21,1249.095,69,45,0.605263157894737,41,0.423614426613842,0.0363665111866551,0.116014651370384,-0.121906066464032
"100L",22,1299.0588,76,42,0.644067796610169,41,0.587786664902119,0.0366013071895425,0.137108224346818,-0.0891551829363819
"100L",23,1349.0226,78,38,0.672413793103448,41,0.712440383494624,0.0387128794772107,0.158201797323251,-0.0509458188207897
"100L",24,1398.9864,78,34,0.696428571428571,41,0.822139300751049,0.0417243607495615,0.179295370299685,-0.00727797411725567
"100L",25,1448.9502,79,33,0.705357142857143,41,0.864211582829265,0.042429362620858,0.200388943276118,0.0418483511742201
"100L",26,1498.914,86,29,0.747826086956522,41,1.07575415059206,0.0454589987263643,0.221482516252552,0.0964331570536376
"100L",27,1548.8778,88,24,0.785714285714286,41,1.2843294344632,0.0521157615588608,0.242576089228985,0.156476443520997
"100L",28,1598.8416,90,30,0.75,41,1.08762316709251,0.0438366090028077,0.263669662205418,0.221978210576298
"100L",29,1648.8054,86,25,0.774774774774775,41,1.22146596177345,0.0507763799161283,0.284763235181852,0.292938458219541
"100L",30,1698.7692,84,24,0.777777777777778,41,1.23807841681245,0.0526506460572395,0.305856808158285,0.369357186450725
"101L",1,249.819,26,81,0.242990654205607,44,-1.12345828725464,0.0500057877069105,-0.305856808158285,0.369357186450725
"101L",2,299.7828,25,85,0.227272727272727,44,-1.20983792377833,0.0509115927072583,-0.284763235181852,0.292938458219541
"101L",3,349.7466,24,82,0.226415094339623,44,-1.21412517578995,0.0529375386518244,-0.263669662205418,0.221978210576298
"101L",4,399.7104,16,93,0.146788990825688,44,-1.73460105538811,0.071301247771836,-0.242576089228985,0.156476443520997
"101L",5,449.6742,19,89,0.175925925925926,44,-1.52382415971111,0.0624552356395932,-0.221482516252551,0.0964331570536376
"101L",6,499.638,20,85,0.19047619047619,44,-1.42809148979835,0.0604763942376266,-0.200388943276118,0.0418483511742202
"101L",7,549.6018,21,80,0.207920792079208,44,-1.3202042492909,0.0589339881554239,-0.179295370299685,-0.00727797411725557
"101L",8,599.5656,18,74,0.195652173913043,44,-1.39302839330123,0.0674768728460004,-0.158201797323251,-0.0509458188207896
"101L",9,649.5294,22,79,0.217821782178218,44,-1.26224171244991,0.0570230607966457,-0.137108224346818,-0.0891551829363819
"101L",10,699.4932,25,68,0.268817204301075,44,-0.988155293103799,0.0538142264204952,-0.116014651370384,-0.121906066464032
